Finnish-fi,Valence,Arousal,Dominance,English,Finnish-bf
absintti,-0.038,0.02,-0.076,absinthe,absintti
absoluuttinen,0.052,0.02,0.654,absolute,absoluuttinen
abstrakti,-0.124,-0.416,-0.112,abstract,abstrakti
abstraktio,-0.062,-0.122,0.05,abstraction,abstraktio
addikti,-0.85,0.392,-0.346,addict,addikti
adjektiivi,0.14,-0.368,0.138,adjective,adjektiivi
adoptio,0.25,0.132,0.178,adoption,adoptio
adrenaliini,0.73,0.84,0.572,adrenalin,adrenaliini
adressi,-0.004,0.15,-0.17,petition,adressi
aerobic,0.416,0.542,0.254,aerobics,aerobic
aerodynaaminen,0.122,0.448,0.456,aerodynamic,aerodynaaminen
aerodynamiikka,0.18,0.326,0.444,aerodynamics,aerodynamiikka
afrikkalainen,-0.02,-0.154,0.11,african,afrikkalainen
agentti,-0.04,-0.122,0.51,agent,agentti
aggregaatti,0.46,-0.244,0.112,aggregate,aggregaatti
aggressiivinen,-0.75,0.898,0.296,aggressive,aggressiivinen
aggressiivisesti,-0.5,0.852,0.376,aggressively,aggressiivinen
aggressiivisuus,-0.846,0.826,0.296,aggressiveness,aggressiivisuus
aggressio,-0.812,0.858,0.066,aggression,aggressio
agnostikko,-0.388,-0.208,0.148,agnostic,agnostikko
agorafobia,-0.746,0.424,-0.124,agoraphobia,agorafobia
ahdas,-0.52,0.134,-0.28,cramped,ahdas
ahdin,0.22,-0.23,-0.272,brace,ahdin
ahdinko,-0.27,-0.04,0.082,predicament,ahdin
ahdistaa,-0.23,0.434,-0.366,beset,ahdistaa
ahdistava,-0.85,0.5,-0.25,distressing,ahdistava
ahdisteleva,-0.76,0.746,-0.108,harassing,ahdisteleva
ahdistelija,-0.714,0.622,-0.044,molester,ahdistelija
ahdistella,-0.734,0.632,-0.362,molest,ahdistella
ahdistelu,-0.834,0.792,-0.16,harassment,ahdistelu
ahdistettu,-0.458,0.0,-0.666,afflicted,ahdistettu
ahdistunut,-0.438,0.75,-0.132,anxious,ahdistunut
ahdistus,-0.854,0.68,-0.208,distress,ahdistus
ahdistustuneisuus,-0.53,0.628,-0.436,anxiousness,
ahkera,0.438,0.166,0.584,hardworking,ahkera
ahkeruus,0.376,-0.154,0.4,diligence,ahkeruus
ahma,-0.06,0.346,0.254,wolverine,ahma
ahmaista,-0.22,0.246,-0.09,gobble,ahmaista
ahmatti,-0.124,0.038,-0.232,glutton,ahmatti
ahmija,-0.214,0.074,-0.128,guzzler,ahmija
ahmiva,-0.08,-0.02,-0.24,guzzling,ahmiva
ahnas,-0.188,0.4,0.018,ravenous,ahnas
ahne,-0.75,0.32,-0.048,greedy,ahne
ahneus,-0.654,0.56,0.056,greed,ahneus
ahtaa,-0.292,0.46,0.196,cram,ahdata
ahven,0.062,-0.4,-0.372,perch,ahven
aidattu,-0.354,-0.14,-0.142,fenced,aidattu
aids,0.122,-0.04,0.0,aids,AIDS
aiemmin,0.188,-0.326,0.246,previously,aiemmin
aiempi,-0.064,-0.3,-0.166,prior,aiempi
aihe,0.204,-0.312,0.116,subject,aihe
aiheutettu,-0.206,-0.058,-0.018,induced,aiheutettu
aiheuttaa,-0.146,-0.34,-0.278,pose,aiheuttaa
aiheuttaminen,-0.396,0.444,0.142,infliction,aiheuttaa
aiheutuva,0.34,-0.118,0.274,resultant,aiheutuva
aika,0.208,-0.424,0.218,time,aika
aikaansaannos,0.506,-0.14,-0.18,handiwork,aikaansaannos
aikaisemmin,0.124,-0.296,-0.322,earlier,aikaisemmin
aikaisin,0.266,-0.254,-0.148,early,aikaisin
aikaistaminen,0.858,0.216,0.624,advancing,aikaistaa
aikakausi,0.23,-0.186,-0.102,era,aikakausi
aikakauslehti,0.23,-0.336,-0.246,magazine,aikakauslehti
aikakirjat,-0.146,0.22,-0.152,annals,aikakirja
aikalisä,-0.312,-0.134,-0.356,timeout,aikalisä
aikataulu,0.122,-0.622,-0.018,timetable,aikataulu
aikaväli,0.02,-0.432,-0.2,interval,aikaväli
aikoa,0.124,0.04,0.038,intend,aikoa
aikuinen,0.63,-0.018,0.574,adult,aikuinen
aikuisuus,0.082,-0.092,0.304,adulthood,aikuisuus
aineellisesti,-0.02,-0.098,0.34,materially,aineellinen
aineellisuus,-0.166,-0.1,0.272,materiality,aineellisuus
aineenvaihdunnallinen,-0.184,0.062,0.118,metabolic,aineenvaihdunnallinen
aineenvaihdunta,0.396,0.018,0.11,metabolism,aineenvaihdunta
aineeton,0.05,-0.04,-0.054,intangible,aineeton
ainesosa,0.146,0.0,0.654,constituent,ainesosa
ainutlaatuinen,0.646,-0.306,0.322,unique,ainutlaatuinen
airo,-0.062,-0.216,-0.368,oar,airo
airut,0.286,-0.236,0.0,herald,airut
aisankannattaja,-0.58,0.146,-0.54,cuckold,aisankannattaja
aisti,0.562,-0.166,-0.052,sense,aistia
aistikas,0.836,-0.084,0.25,tasteful,aistikas
aistillinen,0.46,0.58,0.284,sensual,aistillinen
aistillisuus,0.688,0.68,0.264,sensuality,aistillisuus
aistinvarainen,0.166,-0.04,-0.116,sensory,aistinvarainen
aistiva,0.166,-0.166,-0.274,sentient,aistiva
aita,0.0,-0.604,-0.204,fence,aita
aitaus,0.212,0.324,-0.156,corral,aitaus
aito,0.75,-0.1,0.37,genuine,aito
aitous,0.34,0.096,0.69,authenticity,aitous
aitta,0.14,-0.5,-0.018,storehouse,aitta
aivastaa,-0.458,-0.116,-0.328,sneeze,aivastaa
aivastelu,-0.132,0.14,-0.31,sneezing,aivastelu
aivojen,-0.184,0.018,0.254,cerebral,aivo
aivokalvontulehdus,-0.792,0.224,-0.186,meningitis,aivokalvontulehdus
aivokuori,0.188,-0.122,0.058,cortex,aivokuori
aivolisäke,-0.188,-0.27,-0.116,pituitary,aivolisäke
aivopestä,-0.604,0.294,-0.038,brainwash,aivopestä
aivopuolisko,0.062,-0.266,0.196,hemisphere,aivopuolisko
aivot,0.334,-0.118,0.646,brain,aivo
aivotärähdys,-0.856,0.416,-0.036,concussion,aivotärähdys
ajaa,0.25,0.378,0.426,drive,ajaa
ajallinen,0.0,-0.174,-0.28,temporal,ajallinen
ajanjakso,-0.208,-0.352,0.176,period,ajanjakso
ajankohtainen,0.122,-0.32,0.0,topical,ajankohtainen
ajanpeluu,0.208,0.098,-0.188,waitinggame,ajanpeluu
ajantasaisuus,0.52,-0.192,0.164,timeliness,ajantasaisuus
ajastin,-0.062,-0.134,0.0,timer,ajastaa
ajatella,0.572,-0.184,0.236,think,ajatella
ajaton,-0.184,-0.064,0.166,timeless,ajaton
ajattelematon,-0.612,0.16,-0.096,thoughtless,ajattelematon
ajattelija,0.412,-0.228,0.528,thinker,ajattelija
ajattelu,0.44,-0.384,0.19,thinking,ajattelu
ajatus,0.56,-0.37,0.142,thought,ajatus
ajautunut,-0.376,0.084,-0.38,drifted,ajautunut
ajelehtia,-0.368,0.04,-0.25,drift,ajelehtia
ajoittaa,0.02,-0.24,-0.04,schedule,ajoittaa
ajoittainen,0.354,-0.352,0.016,periodic,ajoittainen
ajoitus,0.042,-0.378,0.154,timing,ajoitus
ajojahti,-0.71,0.85,0.314,manhunt,ajojahti
ajokoira,-0.166,0.056,0.164,hound,ajokoira
ajoneuvo,0.282,0.13,0.0,vehicle,ajoneuvo
ajopuut,-0.358,-0.434,-0.122,driftwood,ajopuu
ajotie,0.224,-0.216,0.378,driveway,ajotie
ajovalo,0.184,-0.314,-0.214,headlight,ajovalo
akaatti,0.08,-0.246,-0.034,agate,akaatti
akana,-0.244,-0.654,-0.706,husk,akana
akanat,-0.334,-0.346,-0.624,chaff,akana
akateeminen,0.562,-0.16,0.624,academic,akateeminen
akatemia,0.408,-0.054,0.584,academy,akatemia
akileija,0.04,0.042,-0.186,columbine,akileija
akka,-0.624,0.39,-0.178,hag,akka
akku,-0.04,-0.15,-0.116,battery,akku
akkusatiivi,-0.604,0.51,-0.036,accusative,akkusatiivi
akne,-0.666,-0.052,-0.384,acne,akne
akrobaatti,0.416,0.656,0.204,acrobat,akrobaatti
akryyli,0.164,-0.442,-0.16,acrylic,akryyli
akseli,-0.082,-0.412,-0.054,axle,akseli
aksentti,0.196,-0.286,0.018,accent,aksentti
aksiaalinen,-0.084,-0.444,-0.018,axial,aksiaalinen
aktiivinen,0.694,0.46,0.462,active,aktiivinen
aktivisti,0.062,0.306,0.754,activist,aktivisti
aktiviteetti,0.402,0.32,0.614,activity,aktiviteetti
aktivoida,0.528,0.3,0.612,activate,aktivoida
aktivointi,0.562,0.6,0.508,activation,aktivointi
aktuaari,0.02,-0.192,-0.018,actuary,aktuaari
akupunktio,0.062,-0.352,0.098,acupuncture,akupunktio
akustiikka,0.222,-0.34,0.018,acoustics,akustiikka
akustinen,0.084,-0.076,0.072,acoustic,akustinen
akuutisti,-0.166,0.086,-0.018,acutely,akuutti
akuutti,-0.146,0.304,0.068,acute,akuutti
akvaario,0.326,-0.346,-0.214,aquarium,akvaario
akvamariini,0.458,-0.388,-0.174,aquamarine,akvamariini
ala,0.28,-0.24,-0.328,field,alkaa
alabasteri,0.084,-0.192,-0.11,alabaster,alabasteri
alahuone,0.266,-0.208,0.246,commons,alahuone
alaikäinen,-0.062,-0.078,-0.4,underage,alaikäinen
alakomitea,-0.208,-0.066,0.2,subcommittee,alakomitea
alakuloinen,-0.858,0.0,-0.556,downcast,alakuloinen
alaleuka,0.02,-0.138,0.0,mandible,alaleuka
alamaailma,-0.646,0.352,0.226,underworld,alamaailma
alamaisuus,0.834,-0.204,0.5,allegiance,alamaisuus
alamittainen,-0.368,-0.15,-0.404,undersized,alamittainen
alamäki,-0.416,0.146,-0.442,downhill,alamäki
alanko,-0.354,-0.42,-0.338,lowlands,alkaa
alaotsikko,-0.11,-0.596,-0.306,subtitle,alaotsikko
alapuoli,-0.62,-0.2,-0.508,downside,alapuoli
alas,-0.584,-0.34,-0.472,down,alas
alasin,-0.24,0.02,0.208,anvil,Alanen
alaspäin,-0.624,-0.306,-0.49,downward,alaspäin
alasti,-0.354,0.77,-0.424,naked,alasti
alastomuus,-0.124,0.706,-0.17,nudity,alastomuus
alaston,-0.02,0.83,-0.6,nude,alaston
alasuojus,-0.306,-0.138,-0.22,jockstrap,alasuojus
alatyyppi,-0.146,-0.408,-0.16,subtype,alatyyppi
alba,0.042,-0.24,-0.146,alb,alba
albatrossi,0.0,-0.11,0.054,albatross,albatrossi
albiino,0.0,-0.52,-0.284,albino,albiino
albumi,0.27,-0.302,-0.094,album,albumi
alemmuus,-0.646,-0.14,-0.59,inferiority,alemmuus
alempi,-0.346,-0.408,-0.484,lower,alempi
aleneminen,-0.654,-0.018,-0.52,decline,aleta
aleneva,-0.562,-0.014,-0.5,descending,aleneva
alennettu,0.354,-0.058,-0.14,discounted,alennettu
alennus,0.448,0.06,-0.396,discount,alennus
alentava,-0.792,0.29,-0.384,demeaning,alentava
alentua,-0.02,-0.14,-0.432,stoop,alentua
alentuneisuus,0.042,-0.246,0.13,condescension,alentuneisuus
alentuva,0.166,-0.274,0.186,condescending,alentuva
alfa,0.416,-0.32,0.51,alpha,alfa
algebra,-0.12,-0.32,0.13,algebra,algebra
algebrallinen,0.062,-0.176,-0.118,algebraic,algebrallinen
algoritmi,-0.104,-0.212,0.118,algorithm,algoritmi
aliarvioida,-0.174,-0.072,-0.614,underestimate,aliarvioida
aliarvioitu,-0.584,0.04,-0.334,underrated,aliarvioitu
aliarvostettu,-0.876,0.058,-0.548,scorned,aliarvostettu
alias,0.082,-0.294,-0.334,alias,alias
alibi,-0.208,0.056,0.112,alibi,alibi
alijäämä,-0.284,0.0,-0.462,deficit,alijäämä
alin,-0.376,-0.392,-0.742,lowest,alin
alipalkattu,-0.708,-0.174,-0.582,underpaid,alipalkattu
alistaa,-0.45,0.28,0.568,subdue,alistaa
alistaminen,-0.44,0.22,-0.246,subjugation,alistaa
alisteinen,-0.448,-0.216,-0.758,subordinate,alisteinen
alistuminen,-0.292,-0.184,0.078,subjection,alistua
alistunut,-0.52,-0.66,-0.464,resigned,alistunut
alistussuhde,-0.46,0.054,-0.314,subordination,alistussuhde
alistuva,-0.04,-0.566,-0.654,submissive,alistuva
alitajunta,0.062,-0.25,-0.17,subconscious,alitajunta
alituisesti,0.326,0.122,0.4,constantly,alituinen
alityöntö,-0.3,0.138,-0.11,subduction,alityöntö
alivaltiosihteeri,-0.082,-0.246,0.188,undersecretary,alivaltiosihteeri
alivuokrasopimus,-0.062,0.102,0.09,sublet,alivuokrasopimus
alkaa,0.368,-0.14,0.178,start,alkaa
alkali,-0.02,-0.3,-0.184,alkali,alkali
alkaminen,0.346,-0.006,0.0,onset,alkaa
alkava,-0.116,-0.236,-0.14,incipient,alkava
alkeellinen,-0.428,-0.358,0.018,rudimentary,alkeellinen
alkeet,-0.23,0.04,-0.254,rudiments,alkeet
alkemia,0.082,0.166,0.386,alchemy,alkemia
alkio,0.346,-0.062,-0.094,embryo,Alkio
alkoholi,-0.354,0.334,-0.246,alcohol,alkoholi
alkoholismi,-0.878,0.558,-0.186,alcoholism,alkoholismi
alkoholisti,-0.694,0.376,-0.278,alcoholic,alkoholisti
alkovi,-0.02,-0.32,-0.288,alcove,alkovi
alku,0.632,0.056,0.116,beginning,alku
alkuasukas,-0.104,-0.146,0.084,aboriginal,alkuasukas
alkueläimet,-0.3,-0.096,-0.196,protozoa,alkueläin
alkukantainen,0.25,0.138,0.542,primordial,alkukantainen
alkukirjain,0.166,-0.372,0.078,initial,alkukirja
alkupala,0.51,0.12,-0.188,appetizer,alkupala
alkuperä,0.458,-0.13,0.182,origin,alkuperä
alkuperäinen,0.53,-0.04,0.492,original,alkuperäinen
alkusoitto,-0.02,-0.196,-0.018,overture,alkusoitto
alkuunpanija,0.184,0.02,0.736,originator,alkuunpanija
alkuvoimainen,0.254,-0.388,0.422,elemental,alkuvoimainen
alla,-0.292,-0.654,-0.534,beneath,alla
allegoria,0.23,0.16,0.018,allegory,allegoria
allegorinen,0.034,0.116,0.196,allegorical,allegorinen
allegro,0.27,0.254,-0.094,allegro,allegro
allekirjoitus,0.14,-0.156,0.314,signature,allekirjoitus
allergia,-0.408,0.212,-0.222,allergy,allergia
allerginen,-0.73,0.098,-0.454,allergic,allerginen
alleviivaus,-0.25,-0.45,-0.388,underscore,alleviivaus
alligaattori,-0.292,0.408,0.29,alligator,alligaattori
aloite,0.666,0.23,0.536,initiative,aloite
aloitettu,0.52,-0.02,0.3,initiated,aloitettu
aloittaa,0.438,-0.04,0.106,initiate,aloittaa
aloittelija,-0.02,-0.04,-0.226,beginner,aloittelija
aloitus,0.396,0.058,0.054,initiation,aloitus
alokas,0.166,-0.26,-0.604,rookie,alokas
alppimaja,0.306,-0.302,-0.444,chalet,alppimaja
altavastaaja,-0.5,-0.18,-0.548,underdog,altavastaaja
altis,-0.124,-0.102,-0.392,susceptible,altis
altistaa,-0.062,-0.038,0.018,predispose,altistaa
alttari,0.448,-0.226,0.27,altar,alttari
alttaripoika,-0.132,-0.588,-0.3,altar boy,alttaripoika
alttius,-0.084,0.254,-0.272,susceptibility,alttius
altto,0.312,-0.192,0.46,alto,altto
alttoviulu,0.042,-0.078,-0.038,viola,alttoviulu
alue,-0.02,-0.388,-0.072,area,alue
alueellinen,0.24,-0.2,0.214,regional,alueellinen
alumiini,-0.102,-0.44,-0.132,aluminum,alumiini
alumni,0.266,-0.264,-0.156,alumnus,alumni
alus,-0.02,-0.204,0.076,vessel,alus
alusastia,0.02,-0.2,-0.276,bedpan,alusastia
alushame,0.1,-0.208,-0.298,petticoat,alushame
alushousut,-0.104,-0.054,-0.448,underpants,alushousu
aluspaita,-0.006,-0.5,-0.25,camisole,aluspaita
aluspaperi,0.042,-0.27,-0.084,underlay,aluspaperi
alusrakenne,-0.118,-0.284,0.174,substructure,alusrakenne
alusta,-0.188,-0.316,-0.112,chassis,alustaa
alustava,0.062,-0.214,0.17,preliminary,alustava
alusvaatteet,0.22,0.092,-0.25,underwear,alusvaate
alveolaarinen,-0.062,-0.038,-0.266,alveolar,alveolaarinen
alzheimer,-0.612,0.036,-0.362,alzheimers,Alzheimer
amalgaami,-0.124,-0.334,0.02,amalgam,amalgaami
amaretto,0.086,0.102,-0.25,amaretto,
amatööri,-0.062,0.0,-0.182,amateur,amatööri
ambivalentti,0.02,-0.192,-0.036,ambivalent,ambivalentti
ambrosia,0.142,-0.096,-0.04,ambrosia,ambrosia
ambulanssi,0.0,0.5,0.218,ambulance,ambulanssi
amerikkalainen,0.286,-0.04,0.416,stateside,amerikkalainen
ametisti,0.244,-0.188,0.034,amethyst,ametisti
amfetamiini,-0.292,0.128,-0.32,meth,amfetamiini
amfibinen,-0.042,-0.308,-0.11,amphibious,
amfiteatteri,0.306,-0.04,0.09,amphitheater,amfiteatteri
amino,0.102,-0.196,-0.134,amino,
amiraali,0.688,-0.02,0.694,admiral,amiraali
amiraliteetti,0.188,0.094,0.466,admiralty,amiraliteetti
ammatillinen,0.166,-0.062,0.192,occupational,ammatillinen
ammatinharjoittaja,0.408,-0.006,0.368,practitioner,ammatinharjoittaja
ammatti,0.124,-0.06,0.384,occupation,ammatti
ammattilainen,0.666,-0.106,0.886,professional,ammattilainen
ammattitaito,0.562,0.082,0.888,professionalism,ammattitaito
ammattitaitoinen,0.772,0.228,0.858,skilled,ammattitaitoinen
ammollaan,0.224,0.058,-0.072,agape,ammolla
ammoniakki,-0.416,0.174,-0.182,ammonia,ammoniakki
ammonium,-0.292,-0.208,-0.264,ammonium,
ammottava,-0.184,0.336,-0.516,gaping,ammottava
ammukset,-0.324,0.27,0.334,ammunition,ammus
ammuminen,-0.124,-0.29,-0.4,moo,ammua
ammunta,-0.448,0.862,0.204,shooting,ammunta
ammus,-0.448,0.73,0.548,projectile,ammus
ammuskelu,-0.734,0.812,0.254,gunplay,ammuskelu
amnesia,-0.408,-0.34,-0.384,amnesia,amnesia
ampeeri,-0.122,-0.214,-0.25,amp,ampeeri
ampiainen,-0.22,0.24,-0.188,wasp,ampiainen
amplitudi,0.388,-0.122,0.384,amplitude,amplitudi
ampua,-0.816,0.852,0.25,shoot,ampua
ampuja,-0.552,0.628,0.548,shooter,ampuja
ampumataito,0.146,0.062,0.328,marksmanship,ampumataito
amputaatio,-0.8,0.51,-0.034,amputation,amputaatio
amputoida,-0.816,0.32,0.018,amputate,amputoida
amuletti,0.562,-0.48,0.26,amulet,amuletti
anaalinen,-0.334,0.596,-0.332,anal,anaalinen
anafylaktinen,-0.244,0.176,0.0,anaphylactic,anafylaktinen
anagrammi,0.104,-0.346,-0.102,anagram,anagrammi
anakonda,-0.708,0.66,0.08,anaconda,anakonda
analogia,0.02,-0.266,0.018,analogy,analogi
analoginen,0.14,-0.36,-0.108,analogue,analoginen
analysaattori,0.25,0.112,0.708,analyzer,analysaattori
analysoida,0.334,-0.076,0.42,analyze,analysoida
analyysi,0.458,-0.104,0.41,analysis,analyysi
analyytikko,0.208,-0.17,0.51,analyst,analyytikko
analyyttinen,0.25,-0.352,0.6,analytical,analyyttinen
ananas,0.354,-0.368,-0.51,pineapple,ananas
anarkia,-0.708,0.51,0.24,anarchy,anarkia
anarkismi,-0.75,0.608,0.246,anarchism,anarkismi
anarkisti,-0.592,0.4,0.518,anarchist,anarkisti
anastaa,-0.75,0.636,-0.134,usurp,anastaa
anastettu,-0.416,0.56,-0.124,usurped,anastettu
anastomoosi,-0.25,-0.06,-0.02,anastomosis,
anatomia,0.124,-0.22,0.142,anatomy,anatomi
anatominen,0.124,-0.116,0.092,anatomic,anatominen
androgeeni,-0.49,0.046,0.054,androgen,androgeeni
androidi,0.326,-0.128,0.0,android,androidi
aneeminen,-0.666,-0.442,-0.69,anemic,aneeminen
anekdootti,0.166,0.058,0.0,anecdote,anekdootti
anella,-0.646,0.192,-0.61,plead,anella
anemia,-0.624,-0.346,-0.38,anemia,anemia
aneurysma,-0.77,0.38,0.072,aneurysm,
angina,-0.54,0.26,-0.072,angina,
angiografia,-0.244,0.072,0.04,angiography,
angora,0.058,-0.15,-0.19,angora,angora
angsti,-0.666,0.776,-0.334,angst,angsti
animaatio,0.776,0.5,0.098,animation,animaatio
ankanpoikanen,0.204,-0.294,-0.474,duckling,ankanpoikanen
ankaruus,-0.48,0.424,0.322,severity,ankaruus
ankerias,-0.416,0.128,-0.026,eel,ankerias
ankka,0.188,-0.326,-0.528,duck,ankka
ankkuri,0.04,-0.432,0.128,anchor,ankkuri
ankkurointi,0.0,-0.35,0.278,anchorage,ankkurointi
annos,-0.084,-0.02,-0.146,dose,annos
annostus,-0.312,-0.1,-0.02,dosage,annostus
anominen,-0.062,0.14,-0.382,supplication,anoa
anonyymi,-0.208,-0.418,-0.138,anonymous,anonyymi
anorakki,-0.062,-0.038,-0.21,parka,anorakki
anorektinen,-0.68,0.236,-0.51,anorexic,anorektinen
ansa,-0.792,0.22,-0.218,trap,ansa
ansaita,0.604,-0.128,0.226,deserve,ansaita
ansaita,0.73,0.538,0.634,earn,ansaita
ansaitsematon,-0.562,0.104,-0.434,undeserved,ansaitsematon
ansaitsematon,-0.646,-0.32,-0.574,unearned,ansaitsematon
ansaittu,0.562,0.164,0.378,deserved,ansaittu
ansaittu,0.674,-0.284,0.642,rightful,ansaittu
ansassa,-0.73,0.23,-0.24,trapped,ansa
ansio,0.708,0.0,0.444,merit,ansio
ansioitunut,0.604,0.192,0.716,deserving,ansioitunut
ansiokas,0.562,0.236,0.71,meritorious,ansiokas
antaa,0.146,-0.036,0.166,confer,antaa
antaa,0.5,-0.308,0.0,give,antaa
antaa,0.042,-0.118,0.388,impart,antaa
antaa,-0.146,-0.254,-0.386,let,antaa
antagonismi,-0.552,0.236,0.048,antagonism,antagonismi
antagonisti,-0.52,0.23,0.4,antagonist,antagonisti
antaumus,0.384,0.458,0.24,gusto,antaumus
antautua,-0.596,0.574,-0.416,succumb,antautua
antautuminen,-0.25,0.092,0.23,capitulation,antautua
antautuminen,-0.77,-0.208,-0.628,surrender,antautua
anteeksi,-0.188,-0.276,-0.576,sorry,anteeksi
anteeksiantamaton,-0.458,0.164,0.092,inexcusable,anteeksiantamaton
anteeksiantamaton,-0.448,0.486,-0.02,unforgivable,anteeksiantamaton
anteeksiantava,0.77,-0.366,0.112,forgiving,anteeksiantava
anteeksianto,0.334,-0.14,-0.058,forgiveness,anteeksianto
anteeksipyyntö,0.142,-0.308,-0.196,apology,anteeksipyyntö
anteeksipyytävä,-0.042,-0.078,0.142,apologetic,anteeksipyytävä
anteliaisuus,0.52,0.51,0.666,bounty,anteliaisuus
anteliaisuus,0.916,-0.114,0.384,generosity,anteliaisuus
antelias,1.0,-0.18,0.62,generous,antelias
antenni,0.23,-0.078,-0.074,aerial,antenni
antenni,0.042,-0.346,-0.284,antenna,antenni
anti,0.376,-0.076,0.17,offering,anti
antibiootit,-0.104,-0.188,0.114,antibiotics,antibiootti
antibiootti,0.02,-0.254,0.316,antibiotic,antibiootti
antiikki,-0.23,-0.334,0.112,antiquity,antiikki
antiikkiesine,0.268,-0.42,0.036,antique,antiikkiesine
antikristus,-0.836,0.674,0.088,antichrist,antikristus
antikvaarinen,0.0,-0.534,-0.148,antiquarian,antikvaarinen
antilooppi,0.084,0.02,0.0,antelope,antilooppi
antimoni,-0.244,-0.204,-0.02,antimony,antimoni
antipainovoima,-0.14,0.428,0.316,antigravity,antipainovoima
antipatia,-0.604,0.098,-0.214,antipathy,antipatia
antiseptinen,-0.124,-0.26,0.246,antiseptic,antiseptinen
antisosiaalinen,-0.708,0.372,-0.218,antisocial,antisosiaalinen
antoisa,0.916,0.274,0.566,rewarding,antoisa
antologia,-0.324,-0.188,0.074,anthology,antologia
antologia,0.0,-0.176,-0.232,miscellany,antologia
antropologi,0.102,-0.23,0.45,anthropologist,antropologi
antropologia,-0.02,-0.266,0.164,anthropology,antropologi
antropologinen,-0.266,-0.22,-0.02,anthropological,antropologinen
aortan,-0.128,0.08,-0.124,aortic,aortta
aortta,-0.104,0.02,0.084,aorta,aortta
apaattinen,-0.624,-0.416,-0.334,apathetic,apaattinen
apassi,0.374,-0.062,0.0,apache,apassi
apatia,-0.632,-0.576,-0.592,apathy,apatia
apea,-0.512,-0.326,-0.754,glum,apea
apea,-0.52,-0.224,-0.584,heartsick,apea
apila,0.21,-0.32,-0.272,clover,apila
apina,0.096,-0.222,-0.328,ape,apina
apina,-0.102,0.16,-0.114,copycat,apina
apina,0.096,-0.102,-0.434,monkey,apina
apostoli,0.292,-0.306,0.464,apostle,apostoli
apostolinen,0.184,-0.4,0.434,apostolic,apostolinen
apotti,-0.146,-0.358,-0.034,abbot,apotti
appelsiinimehu,0.438,-0.314,-0.11,orange juice,appelsiinimehu
aprikoosi,0.416,-0.36,-0.444,apricot,aprikoosi
apteekkari,0.122,-0.344,0.058,apothecary,apteekkari
apteekkari,-0.52,0.122,-0.166,druggist,apteekkari
apteekki,-0.188,-0.24,0.212,dispensary,apteekki
apteekki,-0.02,-0.314,0.036,drugstore,apteekki
apteekki,0.062,-0.326,0.084,pharmacy,apteekki
apu,0.592,-0.018,0.082,aid,apu
apu,0.312,0.038,0.266,assistance,apu
apukeittiö,-0.062,-0.326,-0.294,scullery,apukeittiö
apuraha,0.732,-0.02,0.25,scholarship,apuraha
apuri,0.204,-0.122,0.018,sidekick,apuri
areena,0.02,-0.53,-0.192,arena,areena
aristokraatti,0.166,-0.174,0.622,aristocrat,aristokraatti
aristokraattinen,-0.102,0.038,0.352,aristocratic,aristokraattinen
aritmeettinen,-0.094,-0.08,0.268,arithmetic,aritmeettinen
arka,-0.5,-0.238,-0.232,gutless,arka
arka,-0.04,-0.174,-0.322,mousy,arka
arka,-0.346,-0.448,-0.736,timid,arka
arkaainen,-0.458,-0.346,-0.336,archaic,arkaainen
arkeologi,0.104,-0.098,0.412,archaeologist,arkeologi
