Finnish-fi,Valence,Arousal,Dominance,English-en
adoptoida,0.388,0.224,0.402,adopt
adrenaliini,0.73,0.84,0.572,adrenalin
adressi,-0.004,0.15,-0.17,petition
aerobic,0.416,0.542,0.254,aerobics
aerodynaaminen,0.122,0.448,0.456,aerodynamic
aerodynamiikka,0.18,0.326,0.444,aerodynamics
afrikkalainen,-0.02,-0.154,0.11,african
agentti,-0.04,-0.122,0.51,agent
aggregaatti,0.46,-0.244,0.112,aggregate
aggressiivinen,-0.75,0.898,0.296,aggressive
aggressiivisesti,-0.5,0.852,0.376,aggressively
aggressiivisuus,-0.846,0.826,0.296,aggressiveness
aggressio,-0.812,0.858,0.066,aggression
agnostikko,-0.388,-0.208,0.148,agnostic
agorafobia,-0.746,0.424,-0.124,agoraphobia
ahdas,-0.52,0.134,-0.28,cramped
ahdin,0.22,-0.23,-0.272,brace
ahdinko,-0.27,-0.04,0.082,predicament
ahdistaa,-0.23,0.434,-0.366,beset
ahdistava,-0.85,0.5,-0.25,distressing
ahdisteleva,-0.76,0.746,-0.108,harassing
ahdistelija,-0.714,0.622,-0.044,molester
ahdistella,-0.734,0.632,-0.362,molest
ahdistelu,-0.834,0.792,-0.16,harassment
ahdistettu,-0.458,0.0,-0.666,afflicted
ahdistuneisuus,-0.53,0.628,-0.436,anxiousness
ahdistunut,-0.438,0.75,-0.132,anxious
ahdistus,-0.708,0.73,-0.316,anxiety
ahkera,0.438,0.166,0.584,hardworking
ahkeruus,0.376,-0.154,0.4,diligence
ahma,-0.06,0.346,0.254,wolverine
ahmaista,-0.22,0.246,-0.09,gobble
ahmatti,-0.124,0.038,-0.232,glutton
ahmia,-0.312,0.776,0.148,devour
ahmija,-0.214,0.074,-0.128,guzzler
ahmiva,-0.08,-0.02,-0.24,guzzling
ahnas,-0.188,0.4,0.018,ravenous
ahne,-0.75,0.32,-0.048,greedy
ahnehtia,-0.396,0.558,0.048,covet
ahneus,-0.654,0.56,0.056,greed
ahtaa,-0.292,0.46,0.196,cram
ahven,0.062,-0.4,-0.372,perch
aidattu,-0.354,-0.14,-0.142,fenced
aids,0.122,-0.04,0.0,aids
aiemmin,0.188,-0.326,0.246,previously
aiempi,-0.064,-0.3,-0.166,prior
aihe,0.204,-0.312,0.116,subject
aiheeton,-0.334,0.07,-0.226,groundless
aihelma,0.376,-0.038,0.054,motif
aiheutettu,-0.206,-0.058,-0.018,induced
aiheuttaa,-0.146,-0.34,-0.278,pose
aiheuttaminen,-0.396,0.444,0.142,infliction
aiheutuva,0.34,-0.118,0.274,resultant
aika,0.208,-0.424,0.218,time
aikaansaamaton,-0.62,-0.08,-0.654,inefficient
aikaansaannos,0.506,-0.14,-0.18,handiwork
aikaansaapa,0.918,0.208,0.66,efficient
aikaisemmin,0.124,-0.296,-0.322,earlier
aikaisin,0.266,-0.254,-0.148,early
aikaistaminen,0.858,0.216,0.624,advancing
aikakausi,0.23,-0.186,-0.102,era
aikakauslehti,0.23,-0.336,-0.246,magazine
aikakirjat,-0.146,0.22,-0.152,annals
aikalisä,-0.312,-0.134,-0.356,timeout
aikataulu,0.122,-0.622,-0.018,timetable
aikaväli,0.02,-0.432,-0.2,interval
aikoa,0.124,0.04,0.038,intend
aikomus,0.062,-0.04,0.272,intention
aikuinen,0.63,-0.018,0.574,adult
aikuistuminen,0.224,-0.122,0.396,maturation
aikuisuus,0.082,-0.092,0.304,adulthood
ailahteleva,-0.51,0.622,0.19,moody
ainainen,0.25,-0.124,0.482,perpetual
aineellinen,0.04,-0.3,-0.078,corporeal
aineellisesti,-0.02,-0.098,0.34,materially
aineellisuus,-0.166,-0.1,0.272,materiality
aineenvaihdunnallinen,-0.184,0.062,0.118,metabolic
aineenvaihdunta,0.396,0.018,0.11,metabolism
aineeton,0.05,-0.04,-0.054,intangible
ainesosa,0.146,0.0,0.654,constituent
ainutkertainen,0.552,0.072,0.542,unmatched
ainutlaatuinen,0.646,-0.306,0.322,unique
aiottu,-0.188,0.084,0.174,intended
airo,-0.062,-0.216,-0.368,oar
airut,0.286,-0.236,0.0,herald
aisankannattaja,-0.58,0.146,-0.54,cuckold
aisti,0.562,-0.166,-0.052,sense
aistikas,0.836,-0.084,0.25,tasteful
aistillinen,0.46,0.58,0.284,sensual
aistillisuus,0.688,0.68,0.264,sensuality
aistinvarainen,0.166,-0.04,-0.116,sensory
aistiva,0.166,-0.166,-0.274,sentient
aita,0.0,-0.604,-0.204,fence
aitaus,-0.166,-0.25,-0.02,enclosure
aito,0.75,-0.1,0.37,genuine
aitous,0.34,0.096,0.69,authenticity
aitta,0.14,-0.5,-0.018,storehouse
aivastaa,-0.458,-0.116,-0.328,sneeze
aivastelu,-0.132,0.14,-0.31,sneezing
aivojen,-0.184,0.018,0.254,cerebral
aivokalvontulehdus,-0.792,0.224,-0.186,meningitis
aivokuori,0.188,-0.122,0.058,cortex
aivolisäke,-0.188,-0.27,-0.116,pituitary
aivopestä,-0.604,0.294,-0.038,brainwash
aivopuolisko,0.062,-0.266,0.196,hemisphere
aivot,0.334,-0.118,0.646,brain
aivotärähdys,-0.856,0.416,-0.036,concussion
ajaa,0.25,0.378,0.426,drive
ajallinen,0.0,-0.174,-0.28,temporal
ajanjakso,-0.208,-0.352,0.176,period
ajankohtainen,0.122,-0.32,0.0,topical
ajanpeluu,0.208,0.098,-0.188,waitinggame
ajantasaisuus,0.52,-0.192,0.164,timeliness
ajanviete,0.354,-0.294,-0.114,pastime
ajastin,-0.062,-0.134,0.0,timer
ajatella,0.572,-0.184,0.236,think
ajaton,-0.184,-0.064,0.166,timeless
ajattelematon,-0.612,0.16,-0.096,thoughtless
ajattelija,0.412,-0.228,0.528,thinker
ajattelu,0.44,-0.384,0.19,thinking
ajatus,0.56,-0.37,0.142,thought
ajautunut,-0.376,0.084,-0.38,drifted
ajelehtia,-0.368,0.04,-0.25,drift
ajoittaa,0.02,-0.24,-0.04,schedule
ajoittainen,0.354,-0.352,0.016,periodic
ajoitus,0.042,-0.378,0.154,timing
ajojahti,-0.71,0.85,0.314,manhunt
ajokoira,-0.166,0.056,0.164,hound
ajoneuvo,0.282,0.13,0.0,vehicle
ajopuut,-0.358,-0.434,-0.122,driftwood
ajotie,0.224,-0.216,0.378,driveway
ajovalo,0.184,-0.314,-0.214,headlight
ajuri,-0.042,-0.212,0.018,coachman
akaatti,0.08,-0.246,-0.034,agate
akana,-0.244,-0.654,-0.706,husk
akanat,-0.334,-0.346,-0.624,chaff
akateeminen,0.562,-0.16,0.624,academic
akatemia,0.408,-0.054,0.584,academy
akileija,0.04,0.042,-0.186,columbine
akka,-0.624,0.39,-0.178,hag
akku,-0.04,-0.15,-0.116,battery
akkusatiivi,-0.604,0.51,-0.036,accusative
akne,-0.666,-0.052,-0.384,acne
akrobaatti,0.416,0.656,0.204,acrobat
akryyli,0.164,-0.442,-0.16,acrylic
akseli,-0.082,-0.412,-0.054,axle
aksentti,0.196,-0.286,0.018,accent
aksiaalinen,-0.084,-0.444,-0.018,axial
aktiivinen,0.694,0.46,0.462,active
aktivisti,0.062,0.306,0.754,activist
aktiviteetti,0.402,0.32,0.614,activity
aktivoida,0.528,0.3,0.612,activate
aktivointi,0.562,0.6,0.508,activation
aktuaari,0.02,-0.192,-0.018,actuary
akupunktio,0.062,-0.352,0.098,acupuncture
akustiikka,0.222,-0.34,0.018,acoustics
akustinen,0.084,-0.076,0.072,acoustic
akuutisti,-0.166,0.086,-0.018,acutely
akuutti,-0.146,0.304,0.068,acute
akvaario,0.326,-0.346,-0.214,aquarium
akvamariini,0.458,-0.388,-0.174,aquamarine
ala,0.28,-0.24,-0.328,field
ala-arvoinen,-0.48,-0.492,-0.788,inferior
alabasteri,0.084,-0.192,-0.11,alabaster
alahuone,0.266,-0.208,0.246,commons
alaikäinen,-0.062,-0.078,-0.4,underage
alakomitea,-0.208,-0.066,0.2,subcommittee
alakuloinen,-0.858,0.0,-0.556,downcast
alaleuka,0.02,-0.138,0.0,mandible
alamaailma,-0.646,0.352,0.226,underworld
alamaisuus,0.834,-0.204,0.5,allegiance
alamittainen,-0.368,-0.15,-0.404,undersized
alamäki,-0.416,0.146,-0.442,downhill
alanko,-0.354,-0.42,-0.338,lowlands
alaosa,-0.166,-0.26,-0.418,bottom
alaosasto,0.184,-0.09,-0.14,subdivision
alaotsikko,-0.11,-0.596,-0.306,subtitle
alapuoli,-0.62,-0.2,-0.508,downside
alas,-0.584,-0.34,-0.472,down
alasin,-0.24,0.02,0.208,anvil
alaspäin,-0.624,-0.306,-0.49,downward
alasti,-0.354,0.77,-0.424,naked
alastomuus,-0.124,0.706,-0.17,nudity
alaston,-0.02,0.83,-0.6,nude
alasuojus,-0.306,-0.138,-0.22,jockstrap
alatyyppi,-0.146,-0.408,-0.16,subtype
alba,0.042,-0.24,-0.146,alb
albatrossi,0.0,-0.11,0.054,albatross
albiino,0.0,-0.52,-0.284,albino
albumi,0.27,-0.302,-0.094,album
alemmuus,-0.646,-0.14,-0.59,inferiority
alempi,-0.346,-0.408,-0.484,lower
aleneminen,-0.654,-0.018,-0.52,decline
aleneva,-0.562,-0.014,-0.5,descending
alennettu,0.354,-0.058,-0.14,discounted
alennus,0.448,0.06,-0.396,discount
alentava,-0.792,0.29,-0.384,demeaning
alentua,-0.02,-0.14,-0.432,stoop
alentuneisuus,0.042,-0.246,0.13,condescension
alentuva,0.166,-0.274,0.186,condescending
aleta,-0.46,0.246,-0.11,depreciate
alfa,0.416,-0.32,0.51,alpha
algebra,-0.12,-0.32,0.13,algebra
algebrallinen,0.062,-0.176,-0.118,algebraic
algoritmi,-0.104,-0.212,0.118,algorithm
alhainen,0.124,-0.412,-0.166,lowly
aliarvioida,-0.174,-0.072,-0.614,underestimate
aliarvioitu,-0.584,0.04,-0.334,underrated
aliarvostettu,-0.876,0.058,-0.548,scorned
alias,0.082,-0.294,-0.334,alias
alibi,-0.208,0.056,0.112,alibi
alijäämä,-0.284,0.0,-0.462,deficit
alikersantti,0.164,-0.02,0.192,corporal
alin,-0.376,-0.392,-0.742,lowest
alipalkattu,-0.708,-0.174,-0.582,underpaid
aliravitsemus,-0.952,0.184,-0.446,malnutrition
alistaa,-0.45,0.28,0.568,subdue
alistaminen,-0.44,0.22,-0.246,subjugation
alisteinen,-0.448,-0.216,-0.758,subordinate
alistuminen,-0.292,-0.184,0.078,subjection
alistunut,-0.52,-0.66,-0.464,resigned
alistussuhde,-0.46,0.054,-0.314,subordination
alistuva,-0.04,-0.566,-0.654,submissive
alistuvuus,0.084,-0.04,0.108,acquiescence
alitajunta,0.062,-0.25,-0.17,subconscious
alituinen,0.0,-0.154,0.37,continual
alituisesti,0.326,0.122,0.4,constantly
alityöntö,-0.3,0.138,-0.11,subduction
alivaltiosihteeri,-0.082,-0.246,0.188,undersecretary
alivuokrasopimus,-0.062,0.102,0.09,sublet
alkaa,0.368,-0.14,0.178,start
alkali,-0.02,-0.3,-0.184,alkali
alkaminen,0.346,-0.006,0.0,onset
alkava,-0.116,-0.236,-0.14,incipient
alkeellinen,-0.428,-0.358,0.018,rudimentary
alkeet,-0.23,0.04,-0.254,rudiments
alkemia,0.082,0.166,0.386,alchemy
alkio,0.346,-0.062,-0.094,embryo
alkoholi,-0.354,0.334,-0.246,alcohol
alkoholismi,-0.878,0.558,-0.186,alcoholism
alkoholisti,-0.694,0.376,-0.278,alcoholic
alkovi,-0.02,-0.32,-0.288,alcove
alku,0.632,0.056,0.116,beginning
alkuasukas,-0.104,-0.146,0.084,aboriginal
alkueläimet,-0.3,-0.096,-0.196,protozoa
alkukantainen,0.25,0.138,0.542,primordial
alkukirjain,0.166,-0.372,0.078,initial
alkupala,0.51,0.12,-0.188,appetizer
alkupanos,-0.104,-0.36,-0.166,ante
alkuperä,0.458,-0.13,0.182,origin
alkuperäinen,0.53,-0.04,0.492,original
alkusanat,0.18,-0.372,0.102,foreword
alkusoitto,-0.02,-0.196,-0.018,overture
alkuunpanija,0.184,0.02,0.736,originator
alkuvoimainen,0.254,-0.388,0.422,elemental
alla,-0.292,-0.654,-0.534,beneath
allegoria,0.23,0.16,0.018,allegory
allegorinen,0.034,0.116,0.196,allegorical
allegro,0.27,0.254,-0.094,allegro
allekirjoitus,0.14,-0.156,0.314,signature
allergia,-0.408,0.212,-0.222,allergy
allerginen,-0.73,0.098,-0.454,allergic
alleviivata,-0.04,-0.176,0.018,underline
alleviivaus,-0.25,-0.45,-0.388,underscore
alligaattori,-0.292,0.408,0.29,alligator
allokoida,0.346,-0.076,0.344,allocate
allokointi,0.208,-0.224,0.358,allocation
almanakka,0.376,-0.62,-0.176,almanac
aloite,0.666,0.23,0.536,initiative
aloitettu,0.52,-0.02,0.3,initiated
aloittaa,0.438,-0.04,0.106,initiate
aloittelija,-0.02,-0.04,-0.226,beginner
aloitus,0.396,0.058,0.054,initiation
alokas,0.166,-0.26,-0.604,rookie
alppimaja,0.306,-0.302,-0.444,chalet
altavastaaja,-0.5,-0.18,-0.548,underdog
altis,-0.124,-0.102,-0.392,susceptible
altistaa,-0.062,-0.038,0.018,predispose
alttari,0.448,-0.226,0.27,altar
alttaripoika,-0.132,-0.588,-0.3,altar boy
alttius,-0.084,0.254,-0.272,susceptibility
altto,0.312,-0.192,0.46,alto
alttoviulu,0.042,-0.078,-0.038,viola
alue,-0.02,-0.388,-0.072,area
alueellinen,0.24,-0.2,0.214,regional
alumiini,-0.102,-0.44,-0.132,aluminum
alumni,0.266,-0.264,-0.156,alumnus
alus,-0.02,-0.204,0.076,vessel
alusastia,0.02,-0.2,-0.276,bedpan
alushame,0.1,-0.208,-0.298,petticoat
alushousut,-0.104,-0.054,-0.448,underpants
alusmaa,-0.142,-0.27,-0.288,dependency
aluspaita,-0.006,-0.5,-0.25,camisole
aluspaperi,0.042,-0.27,-0.084,underlay
alusrakenne,-0.118,-0.284,0.174,substructure
alusta,-0.188,-0.316,-0.112,chassis
alustava,0.062,-0.214,0.17,preliminary
alusvaatteet,0.22,0.092,-0.25,underwear
alveolaarinen,-0.062,-0.038,-0.266,alveolar
alzheimer,-0.612,0.036,-0.362,alzheimers
amalgaami,-0.124,-0.334,0.02,amalgam
amaretto,0.086,0.102,-0.25,amaretto
amatööri,-0.062,0.0,-0.182,amateur
ambient,0.25,-0.28,0.164,ambient
ambivalentti,0.02,-0.192,-0.036,ambivalent
ambrosia,0.142,-0.096,-0.04,ambrosia
ambulanssi,0.0,0.5,0.218,ambulance
amerikkalainen,0.286,-0.04,0.416,stateside
ametisti,0.244,-0.188,0.034,amethyst
amfetamiini,-0.292,0.128,-0.32,meth
amfibinen,-0.042,-0.308,-0.11,amphibious
amfiteatteri,0.306,-0.04,0.09,amphitheater
amino,0.102,-0.196,-0.134,amino
amiraali,0.688,-0.02,0.694,admiral
amiraliteetti,0.188,0.094,0.466,admiralty
ammatillinen,0.166,-0.062,0.192,occupational
ammatinharjoittaja,0.408,-0.006,0.368,practitioner
ammatti,0.124,-0.06,0.384,occupation
ammattilainen,0.666,-0.106,0.886,professional
ammattitaito,0.562,0.082,0.888,professionalism
ammattitaitoinen,0.772,0.228,0.858,skilled
ammollaan,0.224,0.058,-0.072,agape
ammoniakki,-0.416,0.174,-0.182,ammonia
ammonium,-0.292,-0.208,-0.264,ammonium
ammottava,-0.184,0.336,-0.516,gaping
ammukset,-0.324,0.27,0.334,ammunition
ammuminen,-0.124,-0.29,-0.4,moo
ammunta,-0.448,0.862,0.204,shooting
ammus,-0.448,0.73,0.548,projectile
ammuskelu,-0.734,0.812,0.254,gunplay
amnesia,-0.408,-0.34,-0.384,amnesia
ampeeri,-0.122,-0.214,-0.25,amp
ampiainen,-0.22,0.24,-0.188,wasp
amplitudi,0.388,-0.122,0.384,amplitude
ampua,-0.816,0.852,0.25,shoot
ampuja,-0.552,0.628,0.548,shooter
ampumataito,0.146,0.062,0.328,marksmanship
ampuminen,-0.438,0.722,0.746,gunnery
amputaatio,-0.8,0.51,-0.034,amputation
amputoida,-0.816,0.32,0.018,amputate
amuletti,0.562,-0.48,0.26,amulet
anaalinen,-0.334,0.596,-0.332,anal
anafylaktinen,-0.244,0.176,0.0,anaphylactic
anagrammi,0.104,-0.346,-0.102,anagram
anakonda,-0.708,0.66,0.08,anaconda
analogia,0.02,-0.266,0.018,analogy
analoginen,0.14,-0.36,-0.108,analogue
analysaattori,0.25,0.112,0.708,analyzer
analysoida,0.334,-0.076,0.42,analyze
analyysi,0.458,-0.104,0.41,analysis
analyytikko,0.208,-0.17,0.51,analyst
analyyttinen,0.25,-0.352,0.6,analytical
ananas,0.354,-0.368,-0.51,pineapple
anarkia,-0.708,0.51,0.24,anarchy
anarkismi,-0.75,0.608,0.246,anarchism
anarkisti,-0.592,0.4,0.518,anarchist
anastaa,-0.75,0.636,-0.134,usurp
anastettu,-0.416,0.56,-0.124,usurped
anastomoosi,-0.25,-0.06,-0.02,anastomosis
anastus,-0.456,0.642,-0.092,larceny
anatomia,0.124,-0.22,0.142,anatomy
anatominen,0.124,-0.116,0.092,anatomic
androgeeni,-0.49,0.046,0.054,androgen
androidi,0.326,-0.128,0.0,android
aneeminen,-0.666,-0.442,-0.69,anemic
anekdootti,0.166,0.058,0.0,anecdote
anella,-0.646,0.192,-0.61,plead
anemia,-0.624,-0.346,-0.38,anemia
anestesia,-0.3,-0.566,-0.054,anaesthesia
aneurysma,-0.77,0.38,0.072,aneurysm
angina,-0.54,0.26,-0.072,angina
angiografia,-0.244,0.072,0.04,angiography
angora,0.058,-0.15,-0.19,angora
angsti,-0.666,0.776,-0.334,angst
animaatio,0.776,0.5,0.098,animation
ankanpoikanen,0.204,-0.294,-0.474,duckling
ankara,-0.672,0.47,0.27,severe
ankaruus,-0.48,0.424,0.322,severity
ankea,-0.592,-0.146,-0.456,bleak
ankerias,-0.416,0.128,-0.026,eel
ankka,0.188,-0.326,-0.528,duck
ankkuri,0.04,-0.432,0.128,anchor
ankkurointi,0.0,-0.35,0.278,anchorage
annos,-0.084,-0.02,-0.146,dose
annostus,-0.312,-0.1,-0.02,dosage
anoa,-0.34,-0.118,0.2,beseech
anoja,-0.458,0.38,0.558,claimant
anominen,-0.062,0.14,-0.382,supplication
anomus,0.224,0.038,-0.17,solicitation
anonyymi,-0.208,-0.418,-0.138,anonymous
anorakki,-0.062,-0.038,-0.21,parka
anorektinen,-0.68,0.236,-0.51,anorexic
ansa,-0.792,0.22,-0.218,trap
ansaita,0.604,-0.128,0.226,deserve
ansaitsematon,-0.646,-0.32,-0.574,unearned
ansaittu,0.562,0.164,0.378,deserved
ansassa,-0.73,0.23,-0.24,trapped
ansio,0.708,0.0,0.444,merit
ansioitunut,0.604,0.192,0.716,deserving
ansiokas,0.562,0.236,0.71,meritorious
ansiot,0.876,0.3,0.75,earnings
ansioton,-0.562,0.104,-0.434,undeserved
antaa,0.5,-0.308,0.0,give
antagonismi,-0.552,0.236,0.048,antagonism
antagonisti,-0.52,0.23,0.4,antagonist
antaja,0.376,-0.17,0.316,giver
antaumus,0.384,0.458,0.24,gusto
antautua,-0.596,0.574,-0.416,succumb
antautuminen,-0.77,-0.208,-0.628,surrender
anteeksi,-0.188,-0.276,-0.576,sorry
anteeksiantamaton,-0.448,0.486,-0.02,unforgivable
anteeksiantava,0.77,-0.366,0.112,forgiving
anteeksianto,0.334,-0.14,-0.058,forgiveness
anteeksipyyntö,0.142,-0.308,-0.196,apology
anteeksipyytävä,-0.042,-0.078,0.142,apologetic
anteliaisuus,0.916,-0.114,0.384,generosity
antelias,1.0,-0.18,0.62,generous
antenni,0.042,-0.346,-0.284,antenna
anti,0.376,-0.076,0.17,offering
antibiootti,0.02,-0.254,0.316,antibiotic
antiikki,-0.23,-0.334,0.112,antiquity
antiikkiesine,0.268,-0.42,0.036,antique
antikristus,-0.836,0.674,0.088,antichrist
antikvaarinen,0.0,-0.534,-0.148,antiquarian
antilooppi,0.084,0.02,0.0,antelope
antimoni,-0.244,-0.204,-0.02,antimony
antipainovoima,-0.14,0.428,0.316,antigravity
antipatia,-0.604,0.098,-0.214,antipathy
antiseptinen,-0.124,-0.26,0.246,antiseptic
antisosiaalinen,-0.708,0.372,-0.218,antisocial
antiteesi,-0.208,-0.176,0.072,antithesis
antoisa,0.916,0.274,0.566,rewarding
antologia,-0.324,-0.188,0.074,anthology
antropologi,0.102,-0.23,0.45,anthropologist
antropologia,-0.02,-0.266,0.164,anthropology
antropologinen,-0.266,-0.22,-0.02,anthropological
aortan,-0.128,0.08,-0.124,aortic
aortta,-0.104,0.02,0.084,aorta
apaattinen,-0.624,-0.416,-0.334,apathetic
apassi,0.374,-0.062,0.0,apache
apatia,-0.632,-0.576,-0.592,apathy
apea,-0.512,-0.326,-0.754,glum
apila,0.21,-0.32,-0.272,clover
apina,0.096,-0.222,-0.328,ape
apina,0.096,-0.102,-0.434,monkey
apinoija,-0.102,0.16,-0.114,copycat
apostoli,0.292,-0.306,0.464,apostle
apostolinen,0.184,-0.4,0.434,apostolic
apotti,-0.146,-0.358,-0.034,abbot
appelsiinimehu,0.438,-0.314,-0.11,orange juice
aprikoosi,0.416,-0.36,-0.444,apricot
apteekkari,0.122,-0.344,0.058,apothecary
apteekki,-0.188,-0.24,0.212,dispensary
apteekki,0.062,-0.326,0.084,pharmacy
apu,0.592,-0.018,0.082,aid
apukeittiö,-0.062,-0.326,-0.294,scullery
apulaispappi,0.452,-0.164,0.052,curate
apuraha,0.732,-0.02,0.25,scholarship
apuri,0.204,-0.122,0.018,sidekick
areena,0.02,-0.53,-0.192,arena
argumentointi,-0.042,0.098,0.52,argumentation
aristokraatti,0.166,-0.174,0.622,aristocrat
aristokraattinen,-0.102,0.038,0.352,aristocratic
aritmeettinen,-0.094,-0.08,0.268,arithmetic
arka,-0.346,-0.448,-0.736,timid
arkaainen,-0.458,-0.346,-0.336,archaic
arkeologi,0.104,-0.098,0.412,archaeologist
arkeologia,0.192,-0.284,0.382,archaeology
arkeologinen,0.48,-0.118,0.32,archaeological
arkinen,-0.25,-0.376,-0.428,ordinary
arkipäivä,-0.02,-0.062,0.04,weekday
arkipäiväinen,-0.376,-0.16,-0.04,mundane
arkisto,-0.124,-0.412,0.054,archive
arkistointi,0.24,-0.16,0.4,filing
arkki,-0.208,-0.146,0.086,ark
arkkienkeli,0.674,0.0,0.416,archangel
arkkiherttua,-0.084,-0.174,0.268,archduke
arkkihiippakunta,-0.2,-0.358,0.408,archdiocese
arkkipiispa,0.244,-0.44,0.552,archbishop
arkkitehti,0.552,-0.116,0.672,architect
arkkitehtoninen,0.458,-0.22,0.34,architectural
arkkitehtuuri,0.64,-0.22,0.388,architecture
arktinen,0.23,-0.296,0.092,arctic
arkuus,-0.334,-0.284,-0.694,timidity
armahtaa,0.104,-0.174,0.084,pardon
armeija,-0.166,0.518,0.804,army
armeliaisuus,0.034,-0.128,0.09,leniency
armelias,0.708,-0.308,0.0,merciful
armo,0.438,-0.542,0.0,mercy
armollinen,0.836,0.268,0.274,gracious
armollisesti,0.896,-0.294,0.36,graciously
armonaika,0.062,-0.058,0.148,reprieve
armonne,0.122,-0.04,0.644,ladyship
armoton,-0.876,0.76,0.268,merciless
aro,-0.146,-0.358,-0.242,steppe
aromaterapia,0.694,-0.56,-0.054,aromatherapy
aromi,0.646,-0.53,-0.116,aroma
arpajaiset,0.28,0.02,-0.092,raffle
arpi,-0.708,0.0,-0.206,scar
arsenaali,-0.27,0.482,0.504,arsenal
arsenikki,-0.438,-0.056,-0.106,arsenic
artefakti,0.02,0.0,0.132,artifact
artikla,0.188,-0.44,-0.038,article
artikulaatio,-0.042,-0.04,0.182,articulation
artikuloitu,0.354,-0.076,0.236,articulate
artisokka,0.166,-0.564,-0.426,artichoke
artisti,0.688,0.024,0.13,artiste
arvaamaton,-0.458,0.006,-0.566,erratic
arvailu,-0.166,-0.098,-0.19,guesswork
arvaus,0.28,-0.074,-0.116,guess
arvella,0.286,-0.16,-0.056,reckon
arveluttava,-0.786,0.08,-0.454,precarious
arvio,0.48,-0.04,0.178,estimation
arvioida,0.326,0.28,0.298,evaluate
arvioija,0.102,0.076,0.528,assessor
arviointi,0.084,0.334,0.528,evaluation
arvo,0.75,0.164,0.604,value
arvoaste,0.062,-0.24,0.372,rank
arvoesineet,0.58,0.25,0.518,valuables
arvoinen,0.744,0.02,0.778,worth
arvoituksellinen,-0.062,0.178,0.358,enigmatic
arvoitus,0.026,0.4,0.0,enigma
arvokas,0.798,0.094,0.596,valuable
arvokkuus,0.688,-0.218,0.746,dignity
arvomerkki,0.33,-0.436,0.37,insignia
arvonalennus,-0.714,0.142,-0.228,depreciation
arvonanto,0.49,-0.24,0.358,esteem
arvonimetön,-0.574,-0.52,-0.52,untitled
arvosana,0.396,-0.28,0.2,grade
arvostaa,0.77,-0.156,0.482,appreciate
arvostava,0.714,-0.24,0.308,appreciative
arvostelija,0.124,-0.312,0.0,reviewer
arvostella,-0.562,0.306,-0.166,censure
arvosteltu,-0.52,0.2,-0.378,criticized
arvostelu,-0.52,0.25,0.386,judging
arvostelukyky,-0.184,-0.058,0.388,discernment
arvostelukykyinen,0.084,0.168,0.56,discerning
arvostettu,0.816,-0.118,0.706,respected
arvostus,0.834,0.058,0.176,appreciation
arvoton,-0.834,-0.16,-0.694,worthless
arvovalta,0.836,0.188,0.814,prestige
arvovaltainen,0.272,0.04,0.78,authoritative
asbesti,-0.286,-0.038,-0.072,asbestos
ase,-0.892,0.68,0.662,weapon
aseet,-0.072,-0.21,-0.034,arms
aseeton,-0.146,-0.16,-0.518,unarmed
aseistettu,-0.624,0.5,0.616,armed
aseistus,-0.604,0.528,0.62,armament
aselepo,0.376,-0.118,-0.094,truce
